serviceId,fromLocationId,fromRangeStart,fromRangeEnd,toLocationId,toRangeStart,toRangeEnd
20203,,,,113,64030,64030
20203,,,,113,64033,64033
20203,,,,113,64034,64035
20203,,,,113,65010,65010
20203,,,,113,65017,65017
20203,,,,113,66026,66026
20203,,,,113,74015,74015
20203,,,,113,75019,75019
20203,,,,113,75022,75022
20203,,,,113,83031,83031
20203,,,,113,84030,84031
20203,,,,113,84035,84036
20203,,,,113,85047,85047
20203,,,,113,86012,86012
20203,,,,113,86016,86016
20203,,,,113,86036,86036
20203,,,,113,86077,86077
20203,,,,113,86079,86079
20203,,,,113,87038,87038
20203,,,,113,87054,87054
20203,,,,113,87056,87056
20203,,,,113,87060,87060
20203,,,,113,88050,88050
20203,,,,113,88060,88060
20203,,,,113,88064,88064
20203,,,,113,88067,88067
20203,,,,113,88068,88068
20203,,,,113,88842,88842
20203,,,,113,89063,89063
20203,,,,113,89064,89064
20203,,,,113,89822,89822
20203,,,,113,89823,89823
20203,,,,113,90030,90030
20203,,,,113,91018,91018
20203,,,,113,94011,94011
20203,,,,113,25010,25040
20203,,,,113,25042,25065
20203,,,,113,25068,25089
20203,,,,113,25121,25136
21317,113,02043,02043,,,
21317,113,06035,06035,,,
21317,113,40059,40059,,,
21317,113,53043,53043,,,
21317,113,54031,54031,,,
21317,113,64030,64030,,,
21317,113,64033,64033,,,
21317,113,64034,64035,,,
21317,113,65010,65010,,,
21317,113,65017,65017,,,
21317,113,66026,66026,,,
21317,113,74015,74015,,,
21317,113,75019,75019,,,
21317,113,75022,75022,,,
21317,113,83031,83031,,,
21317,113,84030,84031,,,
21317,113,84035,84036,,,
21317,113,85047,85047,,,
21317,113,86012,86012,,,
21317,113,86016,86016,,,
21317,113,86036,86036,,,
21317,113,86077,86077,,,
21317,113,86079,86079,,,
21317,113,87038,87038,,,
21317,113,87054,87054,,,
21317,113,87056,87056,,,
21317,113,87060,87060,,,
21317,113,88050,88050,,,
21317,113,88060,88060,,,
21317,113,88064,88064,,,
21317,113,88067,88067,,,
21317,113,88068,88068,,,
21317,113,88842,88842,,,
21317,113,89063,89063,,,
21317,113,89064,89064,,,
21317,113,89822,89822,,,
21317,113,89823,89823,,,
21317,113,90030,90030,,,
21317,113,91018,91018,,,
21317,113,94011,94011,,,
21317,113,25010,25040,,,
21317,113,25042,25065,,,
21317,113,25068,25089,,,
21317,113,25121,25136,,,
21317,,,,113,02043,02043
21317,,,,113,06035,06035
21317,,,,113,40059,40059
21317,,,,113,53043,53043
21317,,,,113,54031,54031
21317,,,,113,64030,64030
21317,,,,113,64033,64033
21317,,,,113,64034,64035
21317,,,,113,65010,65010
21317,,,,113,65017,65017
21317,,,,113,66026,66026
21317,,,,113,74015,74015
21317,,,,113,75019,75019
21317,,,,113,75022,75022
21317,,,,113,83031,83031
21317,,,,113,84030,84031
21317,,,,113,84035,84036
21317,,,,113,85047,85047
21317,,,,113,86012,86012
21317,,,,113,86016,86016
21317,,,,113,86036,86036
21317,,,,113,86077,86077
21317,,,,113,86079,86079
21317,,,,113,87038,87038
21317,,,,113,87054,87054
21317,,,,113,87056,87056
21317,,,,113,87060,87060
21317,,,,113,88050,88050
21317,,,,113,88060,88060
21317,,,,113,88064,88064
21317,,,,113,88067,88067
21317,,,,113,88068,88068
21317,,,,113,88842,88842
21317,,,,113,89063,89063
21317,,,,113,89064,89064
21317,,,,113,89822,89822
21317,,,,113,89823,89823
21317,,,,113,90030,90030
21317,,,,113,91018,91018
21317,,,,113,94011,94011
21317,,,,113,25010,25040
21317,,,,113,25042,25065
21317,,,,113,25068,25089
21317,,,,113,25121,25136
20123,113,02043,02043,,,
20123,113,06035,06035,,,
20123,113,40059,40059,,,
20123,113,53043,53043,,,
20123,113,54031,54031,,,
20123,113,64030,64030,,,
20123,113,64033,64033,,,
20123,113,64034,64035,,,
20123,113,65010,65010,,,
